Player,Age,Year,playerID,MLS,QO,acceptQO,Salary,leng,catcher,cornerIF,MIF,OF,DHonly,G,PA,wRC+,wSB,BsR,Off,Def,FRM,WAR,Dol,QOAmount,SalaryOverQO
Zack Cozart,31,2017,2616,6.084,0,0,5325000,1,0,0,1,0,0,122,507,139,0.2,-1.5,24.3,8.9,NA,5,39.6,17400000,0
A.J. Pollock,30,2018,9256,6.052,1,0,7750000,1,0,0,0,1,0,113,460,111,1.6,3.9,9.9,0.9,NA,2.6,20.8,17900000,0
Adam Jones,32,2018,6368,11.139,0,0,17393152,2,0,0,0,1,0,145,613,96,0.6,-0.9,-3.5,-12.5,NA,0.4,3.5,17900000,0
Bryce Harper,25,2018,11579,6.159,1,0,21625000,2,0,0,0,1,0,159,695,134,0.9,0.4,29.6,-18.1,NA,3.4,27.5,17900000,1
DJ LeMahieu,29,2018,9874,6.128,0,0,8500000,1,0,0,1,0,0,128,581,87,-1.2,-1.6,-11,12.9,NA,2.1,16.6,17900000,0
Freddy Galvis,28,2018,6609,6.021,0,0,6825000,1,0,0,1,0,0,162,656,85,-1.2,0.1,-12.1,3.3,NA,1.2,9.7,17900000,0
Jed Lowrie,34,2018,4418,10.111,0,0,6000000,2,0,1,1,0,0,157,680,123,-0.4,0.2,19.2,7.1,NA,5,40.2,17900000,0
Jonathan Lucroy,32,2018,7870,8.136,0,0,6500000,1,1,0,0,0,0,126,454,71,-0.3,-3.6,-19.2,10.5,-0.6,0.6,5.2,17900000,0
Jordy Mercer,31,2018,6547,6.095,0,0,6750000,1,0,0,1,0,0,117,436,85,0.2,-1,-8.9,4.8,NA,1,7.9,17900000,0
Kurt Suzuki,34,2018,8259,11.113,0,0,3500000,1,1,0,0,0,0,105,388,108,-0.2,-0.6,3.2,-5.7,-9.7,1,8,17900000,0
Lonnie Chisenhall,29,2018,7571,6.158,0,0,5587500,1,0,0,0,1,0,29,95,129,0.1,0.8,4.1,0.3,NA,0.8,6.2,17900000,0
Marwin Gonzalez,29,2018,5497,6.133,0,0,5125000,4,0,1,1,1,0,145,552,103,-1.1,-2.7,-0.8,-2.5,NA,1.5,12.3,17900000,0
Michael Brantley,31,2018,4106,8.131,0,0,12000000,1,0,0,0,1,0,143,631,124,0.8,1.4,19.3,-6.1,NA,3.5,28.1,17900000,0
Nick Markakis,34,2018,5930,13,0,0,11000000,1,0,0,0,1,0,162,705,115,-0.7,-3.4,9.3,-6.4,NA,2.6,20.7,17900000,0
Robinson Chirinos,34,2018,3142,6.103,0,0,2250000,1,1,0,0,0,0,113,426,102,0.1,-3.5,-2.7,-8.5,-11.8,0.3,2.4,17900000,0
Yasmani Grandal,29,2018,11368,6.115,1,0,7900000,1,1,0,0,0,0,140,518,125,-0.3,-6.1,9.5,19.4,10.4,4.7,37.2,17900000,0
Alexei Ramirez,33,2015,5133,8,0,0,10000000,1,0,0,1,0,0,154,622,74,0.4,-5.1,-23.5,4.5,NA,0.1,1.1,15800000,0
Drew Butera,32,2016,3411,6.018,0,0,1162500,1,1,0,0,0,0,56,133,115,-0.1,-0.7,1.7,1.5,0.7,0.8,6.4,17200000,0
Jon Jay,32,2017,5227,7.134,0,0,8000000,3,0,0,0,1,0,141,433,101,0,2.8,3.6,0.2,NA,1.8,14.3,17400000,0
Mitch Moreland,31,2017,3086,7.067,0,0,5500000,1,0,1,0,0,0,149,576,98,-0.7,-2.4,-4.2,-6.4,NA,0.9,7.2,17400000,0
Daniel Descalso,31,2018,8392,8.016,0,0,2000000,3,0,1,1,0,0,138,423,113,-0.7,2.2,8.7,-5.8,NA,1.7,13.3,17900000,0
Jeff Mathis,35,2018,3448,12.012,0,0,2000000,1,1,0,0,0,0,69,218,48,-0.1,-2.7,-16.7,18.6,13.1,0.9,7.3,17900000,0
